tensor(-3.1389, dtype=torch.float64)
tensor(-4.7826, dtype=torch.float64)
tensor(-4.2143, dtype=torch.float64)
tensor(-5.5238, dtype=torch.float64)
tensor(-2.5926, dtype=torch.float64)
tensor(-4.9688, dtype=torch.float64)
tensor(-3.5278, dtype=torch.float64)
tensor(-2.9706, dtype=torch.float64)
tensor(-2.5294, dtype=torch.float64)
tensor(-3.9062, dtype=torch.float64)
tensor(-3.3542, dtype=torch.float64)
tensor(-3.1522, dtype=torch.float64)
tensor(-2.3824, dtype=torch.float64)
tensor(-2.5667, dtype=torch.float64)
tensor(-3.3947, dtype=torch.float64)
tensor(-1.7368, dtype=torch.float64)
tensor(-2.7407, dtype=torch.float64)
tensor(-2.6389, dtype=torch.float64)
tensor(-2.4474, dtype=torch.float64)
tensor(-1.5789, dtype=torch.float64)
tensor(-2.4310, dtype=torch.float64)
tensor(-2.5938, dtype=torch.float64)
tensor(-2.0750, dtype=torch.float64)
tensor(-2.7619, dtype=torch.float64)
tensor(-2.5577, dtype=torch.float64)
tensor(-1.8409, dtype=torch.float64)
tensor(-1.0208, dtype=torch.float64)
tensor(-2.7500, dtype=torch.float64)
tensor(-0.8750, dtype=torch.float64)
tensor(-2.2400, dtype=torch.float64)
tensor(-1.0938, dtype=torch.float64)
tensor(-1.9524, dtype=torch.float64)
tensor(-1.1304, dtype=torch.float64)
tensor(-1.1364, dtype=torch.float64)
tensor(-0.7308, dtype=torch.float64)
tensor(-1.5000, dtype=torch.float64)
tensor(-0.1364, dtype=torch.float64)
tensor(-1.1667, dtype=torch.float64)
tensor(-0.8929, dtype=torch.float64)
tensor(-1.0588, dtype=torch.float64)
tensor(-1.0952, dtype=torch.float64)
tensor(-1.5400, dtype=torch.float64)
tensor(-0.3889, dtype=torch.float64)
tensor(-0.1471, dtype=torch.float64)
tensor(-0.3529, dtype=torch.float64)
tensor(-0.1667, dtype=torch.float64)
tensor(0.0455, dtype=torch.float64)
tensor(0.1333, dtype=torch.float64)
tensor(0.5000, dtype=torch.float64)
tensor(-0.7812, dtype=torch.float64)
tensor(0.1176, dtype=torch.float64)
tensor(0.0294, dtype=torch.float64)
tensor(-0.4412, dtype=torch.float64)
tensor(0.1538, dtype=torch.float64)
tensor(-0.3125, dtype=torch.float64)
tensor(0.2250, dtype=torch.float64)
tensor(0.1389, dtype=torch.float64)
tensor(0.1304, dtype=torch.float64)
tensor(0.2381, dtype=torch.float64)
tensor(0.3125, dtype=torch.float64)
tensor(0.6667, dtype=torch.float64)
tensor(0.2059, dtype=torch.float64)
tensor(0.5185, dtype=torch.float64)
tensor(0.1087, dtype=torch.float64)
tensor(0.1500, dtype=torch.float64)
tensor(0.3750, dtype=torch.float64)
tensor(0.3824, dtype=torch.float64)
tensor(0.5312, dtype=torch.float64)
tensor(0.4000, dtype=torch.float64)
tensor(0.2059, dtype=torch.float64)
tensor(0.4375, dtype=torch.float64)
tensor(0.3125, dtype=torch.float64)
tensor(0.5741, dtype=torch.float64)
tensor(0.5217, dtype=torch.float64)
tensor(0.5217, dtype=torch.float64)
tensor(0.8462, dtype=torch.float64)
tensor(0.7174, dtype=torch.float64)
tensor(0.4318, dtype=torch.float64)
tensor(0.5139, dtype=torch.float64)
tensor(0.6034, dtype=torch.float64)
tensor(0.5526, dtype=torch.float64)
tensor(0.7500, dtype=torch.float64)
tensor(0.6000, dtype=torch.float64)
tensor(0.7500, dtype=torch.float64)
tensor(0.4231, dtype=torch.float64)
tensor(0.5167, dtype=torch.float64)
tensor(0.5556, dtype=torch.float64)
tensor(1., dtype=torch.float64)
tensor(0.5303, dtype=torch.float64)
tensor(0.6136, dtype=torch.float64)
tensor(0.5345, dtype=torch.float64)
tensor(0.6200, dtype=torch.float64)
tensor(0.5323, dtype=torch.float64)
tensor(0.7027, dtype=torch.float64)
tensor(0.7885, dtype=torch.float64)
tensor(0.8333, dtype=torch.float64)
tensor(0.6481, dtype=torch.float64)
tensor(1.3947, dtype=torch.float64)
tensor(1.3947, dtype=torch.float64)
