tensor(-142.5750, dtype=torch.float64)
tensor(-52.5500, dtype=torch.float64)
tensor(-242.3400, dtype=torch.float64)
tensor(-142.1050, dtype=torch.float64)
tensor(-46.2850, dtype=torch.float64)
tensor(-144.1050, dtype=torch.float64)
tensor(-148.7300, dtype=torch.float64)
tensor(-142.3700, dtype=torch.float64)
tensor(-42.2650, dtype=torch.float64)
tensor(-39.6900, dtype=torch.float64)
tensor(-249.8950, dtype=torch.float64)
tensor(-137.2450, dtype=torch.float64)
tensor(-44.4150, dtype=torch.float64)
tensor(-141.5750, dtype=torch.float64)
tensor(-36.1750, dtype=torch.float64)
tensor(-135.0200, dtype=torch.float64)
tensor(-142.7000, dtype=torch.float64)
tensor(-48.9250, dtype=torch.float64)
tensor(-144.7650, dtype=torch.float64)
tensor(-45.9750, dtype=torch.float64)
tensor(-240.3250, dtype=torch.float64)
tensor(-134.5900, dtype=torch.float64)
tensor(-135.1000, dtype=torch.float64)
tensor(-35.1550, dtype=torch.float64)
tensor(-135.2650, dtype=torch.float64)
tensor(-32.2900, dtype=torch.float64)
tensor(-34.1400, dtype=torch.float64)
tensor(-36.5500, dtype=torch.float64)
tensor(-36.9850, dtype=torch.float64)
tensor(-38.7900, dtype=torch.float64)
tensor(-35.2100, dtype=torch.float64)
tensor(-138.4950, dtype=torch.float64)
tensor(-39.7100, dtype=torch.float64)
tensor(-32.4800, dtype=torch.float64)
tensor(-24.7450, dtype=torch.float64)
tensor(-37.8000, dtype=torch.float64)
tensor(-33.4000, dtype=torch.float64)
tensor(-28.6350, dtype=torch.float64)
tensor(-41.8450, dtype=torch.float64)
tensor(-27.7950, dtype=torch.float64)
tensor(-30.2600, dtype=torch.float64)
tensor(-127.7900, dtype=torch.float64)
tensor(-32.8200, dtype=torch.float64)
tensor(-29.6350, dtype=torch.float64)
tensor(-29.8400, dtype=torch.float64)
tensor(-33.1100, dtype=torch.float64)
tensor(-27.4000, dtype=torch.float64)
tensor(-32.7400, dtype=torch.float64)
tensor(-26.8150, dtype=torch.float64)
tensor(-125.6800, dtype=torch.float64)
tensor(-25.2100, dtype=torch.float64)
tensor(-130.7550, dtype=torch.float64)
tensor(-29.2550, dtype=torch.float64)
tensor(-27.9600, dtype=torch.float64)
tensor(-27.2450, dtype=torch.float64)
tensor(-25.8150, dtype=torch.float64)
tensor(-127.8500, dtype=torch.float64)
tensor(-29.5900, dtype=torch.float64)
tensor(-27.5600, dtype=torch.float64)
tensor(-25.3050, dtype=torch.float64)
tensor(-28.4300, dtype=torch.float64)
tensor(-131.9900, dtype=torch.float64)
tensor(-32.7700, dtype=torch.float64)
tensor(-21.4100, dtype=torch.float64)
tensor(-29.0050, dtype=torch.float64)
tensor(-22.0450, dtype=torch.float64)
tensor(-122.3300, dtype=torch.float64)
tensor(-132.1900, dtype=torch.float64)
tensor(-25.8600, dtype=torch.float64)
tensor(-21.9850, dtype=torch.float64)
tensor(-19.3750, dtype=torch.float64)
tensor(-19.6900, dtype=torch.float64)
tensor(-19.1200, dtype=torch.float64)
tensor(-17.9850, dtype=torch.float64)
tensor(-24.6900, dtype=torch.float64)
tensor(-21.7450, dtype=torch.float64)
tensor(-18.5700, dtype=torch.float64)
tensor(-18.9400, dtype=torch.float64)
tensor(-18.1350, dtype=torch.float64)
tensor(-19.8700, dtype=torch.float64)
tensor(-16.1600, dtype=torch.float64)
tensor(-15.1850, dtype=torch.float64)
tensor(-20.4200, dtype=torch.float64)
tensor(-14.8200, dtype=torch.float64)
tensor(-20.9750, dtype=torch.float64)
tensor(-24.4850, dtype=torch.float64)
tensor(-14.4300, dtype=torch.float64)
tensor(-15.1750, dtype=torch.float64)
tensor(-18.8100, dtype=torch.float64)
tensor(-15.9350, dtype=torch.float64)
tensor(-14.2150, dtype=torch.float64)
tensor(-13.8050, dtype=torch.float64)
tensor(-16.3200, dtype=torch.float64)
tensor(-16.5550, dtype=torch.float64)
tensor(-16.1900, dtype=torch.float64)
tensor(-15.1350, dtype=torch.float64)
tensor(-15.0850, dtype=torch.float64)
tensor(-17.9750, dtype=torch.float64)
tensor(-17.9750, dtype=torch.float64)
