tensor(-4373.0200, dtype=torch.float64)
tensor(-4863.9200, dtype=torch.float64)
tensor(-3876.3000, dtype=torch.float64)
tensor(-5154.2200, dtype=torch.float64)
tensor(-3982.4000, dtype=torch.float64)
tensor(-4277.2050, dtype=torch.float64)
tensor(-3974.3200, dtype=torch.float64)
tensor(-3979.1700, dtype=torch.float64)
tensor(-4470.8350, dtype=torch.float64)
tensor(-5261.1250, dtype=torch.float64)
tensor(-4962.6950, dtype=torch.float64)
tensor(-3588.7050, dtype=torch.float64)
tensor(-4181.5850, dtype=torch.float64)
tensor(-3478.8050, dtype=torch.float64)
tensor(-3389.5000, dtype=torch.float64)
tensor(-4274.2500, dtype=torch.float64)
tensor(-3771.9100, dtype=torch.float64)
tensor(-4270.4750, dtype=torch.float64)
tensor(-4566.4550, dtype=torch.float64)
tensor(-3579.0750, dtype=torch.float64)
tensor(-4377.2550, dtype=torch.float64)
tensor(-4066.8300, dtype=torch.float64)
tensor(-3268.2900, dtype=torch.float64)
tensor(-4571.6950, dtype=torch.float64)
tensor(-3578.6950, dtype=torch.float64)
tensor(-3185.1200, dtype=torch.float64)
tensor(-4072.5050, dtype=torch.float64)
tensor(-3573.4500, dtype=torch.float64)
tensor(-3279.8500, dtype=torch.float64)
tensor(-3680.9200, dtype=torch.float64)
tensor(-3973.8750, dtype=torch.float64)
tensor(-3477.9650, dtype=torch.float64)
tensor(-3677.9550, dtype=torch.float64)
tensor(-3086.8450, dtype=torch.float64)
tensor(-3574.8250, dtype=torch.float64)
tensor(-3483.1700, dtype=torch.float64)
tensor(-2984.4550, dtype=torch.float64)
tensor(-2793.1750, dtype=torch.float64)
tensor(-2884.4000, dtype=torch.float64)
tensor(-3576.3650, dtype=torch.float64)
tensor(-3282.7600, dtype=torch.float64)
tensor(-3385.9450, dtype=torch.float64)
tensor(-2386.5400, dtype=torch.float64)
tensor(-2487.6650, dtype=torch.float64)
tensor(-2890.8450, dtype=torch.float64)
tensor(-2488.4150, dtype=torch.float64)
tensor(-2597.6400, dtype=torch.float64)
tensor(-3185.9800, dtype=torch.float64)
